ticker,date,time,open,high,low,close,volume
SWIGGY,2024-11-22,09:15:00,414.2,416.2,414.2,415.65,77848
SWIGGY,2024-11-22,09:16:00,415.65,415.65,415.15,415.25,34006
SWIGGY,2024-11-22,09:17:00,415.4,415.4,412.65,412.95,47233
SWIGGY,2024-11-22,09:18:00,412.7,413,412.4,412.75,40126
SWIGGY,2024-11-22,09:19:00,412.75,412.8,410.85,411.35,37369
SWIGGY,2024-11-22,09:20:00,411.1,413.85,410.8,413.75,43505
SWIGGY,2024-11-22,09:21:00,413.75,415.5,413.2,414.5,41773
SWIGGY,2024-11-22,09:22:00,414.45,414.5,411.95,412.2,35457
SWIGGY,2024-11-22,09:23:00,411.85,413.4,411.85,413.1,28384
SWIGGY,2024-11-22,09:24:00,413.1,414.4,413,413.2,31818
SWIGGY,2024-11-22,09:25:00,413.1,413.6,413,413,30661
SWIGGY,2024-11-22,09:26:00,413.25,413.25,412.25,412.75,13011
SWIGGY,2024-11-22,09:27:00,412.55,412.75,412.25,412.5,12526
SWIGGY,2024-11-22,09:28:00,412.5,413.5,412.25,413,15046
SWIGGY,2024-11-22,09:29:00,413.25,413.25,412.55,412.7,23663
SWIGGY,2024-11-22,09:30:00,412.95,413.4,412.8,412.95,19652
SWIGGY,2024-11-22,09:31:00,412.85,413.5,412.85,413.2,12672
SWIGGY,2024-11-22,09:32:00,413.25,413.65,412,412,77943
SWIGGY,2024-11-22,09:33:00,412,412.25,411.2,411.85,33970
SWIGGY,2024-11-22,09:34:00,411.85,412.15,411.6,412.15,11844
SWIGGY,2024-11-22,09:35:00,412,412.8,411.95,412.45,7358
SWIGGY,2024-11-22,09:36:00,412.45,412.75,412.3,412.4,7403
SWIGGY,2024-11-22,09:37:00,412.4,412.45,412.05,412.3,4910
SWIGGY,2024-11-22,09:38:00,412.2,412.4,410.9,410.9,18821
SWIGGY,2024-11-22,09:39:00,411.1,411.1,410,410.85,65805
SWIGGY,2024-11-22,09:40:00,410.85,411.5,410.35,411.2,19399
SWIGGY,2024-11-22,09:41:00,411.45,411.5,410.25,410.5,39053
SWIGGY,2024-11-22,09:42:00,410.5,410.95,410.5,410.85,8581
SWIGGY,2024-11-22,09:43:00,410.85,411,410.6,411,11843
SWIGGY,2024-11-22,09:44:00,411,411,410.5,410.75,6545
SWIGGY,2024-11-22,09:45:00,410.6,411.7,410.6,411.35,32201
SWIGGY,2024-11-22,09:46:00,411.25,411.25,410.8,411,4202
SWIGGY,2024-11-22,09:47:00,410.8,411,410,410,21036
SWIGGY,2024-11-22,09:48:00,410.05,410.95,410.05,410.5,11033
SWIGGY,2024-11-22,09:49:00,410.6,411,410.5,410.95,11141
SWIGGY,2024-11-22,09:50:00,410.75,411.2,410.75,410.8,7252
SWIGGY,2024-11-22,09:51:00,410.85,411.55,410.85,411.2,10272
SWIGGY,2024-11-22,09:52:00,411.2,411.5,410.5,410.8,19119
SWIGGY,2024-11-22,09:53:00,410.8,411.25,410.8,411.05,12573
SWIGGY,2024-11-22,09:54:00,411.05,411.5,411.05,411.25,9065
SWIGGY,2024-11-22,09:55:00,411.6,411.65,411.1,411.1,6136
SWIGGY,2024-11-22,09:56:00,411.2,411.4,411,411.1,4698
SWIGGY,2024-11-22,09:57:00,411.1,411.3,410.55,410.8,36551
SWIGGY,2024-11-22,09:58:00,410.8,411.3,410.55,410.8,41242
SWIGGY,2024-11-22,09:59:00,410.15,411.45,410.15,411.2,4798
SWIGGY,2024-11-22,10:00:00,411.2,411.5,411.2,411.25,3393
SWIGGY,2024-11-22,10:01:00,411.35,412.35,411.25,412.15,10132
SWIGGY,2024-11-22,10:02:00,412,412.35,411.75,412.3,8065
SWIGGY,2024-11-22,10:03:00,412.25,412.45,412.05,412.2,11992
SWIGGY,2024-11-22,10:04:00,412.1,413.1,412.1,413,18894
SWIGGY,2024-11-22,10:05:00,412.9,413,412.65,412.85,5232
SWIGGY,2024-11-22,10:06:00,412.75,413,412.75,412.8,5170
SWIGGY,2024-11-22,10:07:00,412.8,413,412.65,412.75,8390
SWIGGY,2024-11-22,10:08:00,412.7,412.8,411.8,412.2,6627
SWIGGY,2024-11-22,10:09:00,411.9,412.25,411.55,412,4439
SWIGGY,2024-11-22,10:10:00,411.85,412.2,411.8,412.1,3410
SWIGGY,2024-11-22,10:11:00,412.1,412.2,412,412,2427
SWIGGY,2024-11-22,10:12:00,412.15,412.2,412,412.15,2294
SWIGGY,2024-11-22,10:13:00,412.15,412.2,412.05,412.2,2339
SWIGGY,2024-11-22,10:14:00,412.2,413,412.1,412.7,9903
SWIGGY,2024-11-22,10:15:00,412.95,413.35,412.7,413.2,11456
SWIGGY,2024-11-22,10:16:00,413,413.1,412.5,412.5,13386
SWIGGY,2024-11-22,10:17:00,412.5,412.9,412.35,412.65,7049
SWIGGY,2024-11-22,10:18:00,412.65,412.9,411.5,411.65,10577
SWIGGY,2024-11-22,10:19:00,411.65,412,411.45,411.45,2169
SWIGGY,2024-11-22,10:20:00,411.45,411.45,410.8,411.1,19760
SWIGGY,2024-11-22,10:21:00,411.4,412.55,411,412.45,23167
SWIGGY,2024-11-22,10:22:00,412.25,412.45,411.5,411.7,5454
SWIGGY,2024-11-22,10:23:00,411.7,412.25,411.7,412.05,1211
SWIGGY,2024-11-22,10:24:00,412.05,412.1,411.45,411.5,10137
SWIGGY,2024-11-22,10:25:00,411.45,411.5,411.35,411.5,2005
SWIGGY,2024-11-22,10:26:00,411.45,411.95,411.2,411.2,5882
SWIGGY,2024-11-22,10:27:00,411.4,411.85,411.2,411.5,11209
SWIGGY,2024-11-22,10:28:00,411.5,411.8,411.25,411.5,13501
SWIGGY,2024-11-22,10:29:00,411.7,411.7,411.05,411.4,7392
SWIGGY,2024-11-22,10:30:00,411.65,411.65,411.1,411.2,3514
SWIGGY,2024-11-22,10:31:00,411.1,411.3,411,411.15,3380
SWIGGY,2024-11-22,10:32:00,411.15,411.2,410.7,411,3400
SWIGGY,2024-11-22,10:33:00,410.8,411.2,410.8,411.1,4307
SWIGGY,2024-11-22,10:34:00,411.1,411.2,411.1,411.2,5349
SWIGGY,2024-11-22,10:35:00,411.1,411.95,411.1,411.75,14818
SWIGGY,2024-11-22,10:36:00,411.75,411.95,411.3,411.5,3850
SWIGGY,2024-11-22,10:37:00,411.3,411.8,411.3,411.7,2804
SWIGGY,2024-11-22,10:38:00,411.6,412.1,411.6,412.1,4356
SWIGGY,2024-11-22,10:39:00,412,412.2,411.45,411.5,4338
SWIGGY,2024-11-22,10:40:00,411.5,411.8,411.5,411.65,1068
SWIGGY,2024-11-22,10:41:00,411.5,411.85,411.45,411.6,2895
SWIGGY,2024-11-22,10:42:00,411.6,411.85,411.6,411.65,1544
SWIGGY,2024-11-22,10:43:00,411.65,411.85,411.6,411.85,1992
SWIGGY,2024-11-22,10:44:00,411.75,411.85,411.75,411.85,1430
SWIGGY,2024-11-22,10:45:00,411.75,411.95,411.75,411.9,1669
SWIGGY,2024-11-22,10:46:00,411.95,412.5,411.9,412.5,4721
SWIGGY,2024-11-22,10:47:00,412.5,413.05,412.35,413.05,39648
SWIGGY,2024-11-22,10:48:00,413.1,413.25,412.5,412.7,10320
SWIGGY,2024-11-22,10:49:00,412.55,413.2,412.5,412.9,12085
SWIGGY,2024-11-22,10:50:00,412.9,413.8,412.65,413.55,16241
SWIGGY,2024-11-22,10:51:00,414.15,414.75,413.45,413.8,43892
SWIGGY,2024-11-22,10:52:00,413.8,414.05,413.55,413.95,8470
SWIGGY,2024-11-22,10:53:00,414,414.5,413.6,413.9,11734
SWIGGY,2024-11-22,10:54:00,413.85,414.5,413.15,413.5,11247
SWIGGY,2024-11-22,10:55:00,413.3,413.75,413.2,413.5,7010
SWIGGY,2024-11-22,10:56:00,413.5,413.7,412.8,413.5,11307
SWIGGY,2024-11-22,10:57:00,413.55,414.3,413.55,414.3,11822
SWIGGY,2024-11-22,10:58:00,414.15,414.4,413.3,414.25,13366
SWIGGY,2024-11-22,10:59:00,414.05,414.35,413.9,414.15,15137
SWIGGY,2024-11-22,11:00:00,414.05,415.25,414.05,415.05,39000
SWIGGY,2024-11-22,11:01:00,415.05,415.1,414.1,414.55,23463
SWIGGY,2024-11-22,11:02:00,414.55,414.6,414.25,414.3,3025
SWIGGY,2024-11-22,11:03:00,414.3,414.3,414.05,414.1,4316
SWIGGY,2024-11-22,11:04:00,414.15,414.35,414.05,414.1,11179
SWIGGY,2024-11-22,11:05:00,414.1,414.3,414.1,414.1,5209
SWIGGY,2024-11-22,11:06:00,414.1,414.25,414.05,414.2,2975
SWIGGY,2024-11-22,11:07:00,414.05,414.25,413.2,413.2,11544
SWIGGY,2024-11-22,11:08:00,413.45,413.95,413,413.75,25635
SWIGGY,2024-11-22,11:09:00,413.75,414,413.5,413.6,4481
SWIGGY,2024-11-22,11:10:00,413.6,414.4,413.6,414.4,17073
SWIGGY,2024-11-22,11:11:00,414.35,414.35,413.85,413.9,3697
SWIGGY,2024-11-22,11:12:00,413.85,414,413.7,413.75,3643
SWIGGY,2024-11-22,11:13:00,413.75,414.1,413.75,414,2726
SWIGGY,2024-11-22,11:14:00,414,414.25,413.95,414.05,4234
SWIGGY,2024-11-22,11:15:00,414.05,414.5,414.05,414.3,4862
SWIGGY,2024-11-22,11:16:00,414.3,414.45,414,414,4991
SWIGGY,2024-11-22,11:17:00,414,414.35,414,414.3,2002
SWIGGY,2024-11-22,11:18:00,414.3,414.45,414.3,414.35,3372
SWIGGY,2024-11-22,11:19:00,414.35,414.4,414.05,414.2,2871
SWIGGY,2024-11-22,11:20:00,414.2,414.55,414.2,414.45,8277
SWIGGY,2024-11-22,11:21:00,414.45,414.45,414.25,414.45,2585
SWIGGY,2024-11-22,11:22:00,414.3,414.45,414.25,414.45,3856
SWIGGY,2024-11-22,11:23:00,414.45,414.45,414.15,414.4,2993
SWIGGY,2024-11-22,11:24:00,414.35,414.5,414.2,414.45,1855
SWIGGY,2024-11-22,11:25:00,414.45,414.7,414.4,414.5,3710
SWIGGY,2024-11-22,11:26:00,414.5,414.7,414.5,414.6,6256
SWIGGY,2024-11-22,11:27:00,414.6,414.65,414.15,414.4,3483
SWIGGY,2024-11-22,11:28:00,414.25,414.5,414.15,414.15,4455
SWIGGY,2024-11-22,11:29:00,414.25,414.45,414,414.1,4194
SWIGGY,2024-11-22,11:30:00,414.15,414.35,414,414.1,3579
SWIGGY,2024-11-22,11:31:00,414.05,414.2,413.5,413.55,3964
SWIGGY,2024-11-22,11:32:00,413.55,413.55,413.15,413.35,9504
SWIGGY,2024-11-22,11:33:00,413.35,413.6,413.1,413.25,6488
SWIGGY,2024-11-22,11:34:00,413.15,413.4,413.1,413.3,4311
SWIGGY,2024-11-22,11:35:00,413.2,413.5,413.2,413.4,4556
SWIGGY,2024-11-22,11:36:00,413.4,413.45,413.1,413.25,2987
SWIGGY,2024-11-22,11:37:00,413.25,413.8,413.15,413.45,10743
SWIGGY,2024-11-22,11:38:00,413.2,414.05,413.2,414,7285
SWIGGY,2024-11-22,11:39:00,414,414.2,413.75,414.2,3685
SWIGGY,2024-11-22,11:40:00,414.15,414.35,414,414,6489
SWIGGY,2024-11-22,11:41:00,414,414.5,414,414.45,3404
SWIGGY,2024-11-22,11:42:00,414.25,414.5,414.2,414.3,3750
SWIGGY,2024-11-22,11:43:00,414.3,414.8,414.3,414.45,6383
SWIGGY,2024-11-22,11:44:00,414.45,414.8,414.45,414.75,9264
SWIGGY,2024-11-22,11:45:00,414.6,414.75,414.25,414.25,4288
SWIGGY,2024-11-22,11:46:00,414.25,414.5,414.15,414.3,1957
SWIGGY,2024-11-22,11:47:00,414.5,414.5,413.7,413.7,4265
SWIGGY,2024-11-22,11:48:00,413.95,414.1,413.7,414.1,7920
SWIGGY,2024-11-22,11:49:00,414.05,414.15,414.05,414.05,4302
SWIGGY,2024-11-22,11:50:00,414.05,414.4,414.05,414.25,3079
SWIGGY,2024-11-22,11:51:00,414.2,414.85,414.2,414.85,3934
SWIGGY,2024-11-22,11:52:00,414.75,414.85,414,414.05,15564
SWIGGY,2024-11-22,11:53:00,414.35,414.9,414.05,414.45,2644
SWIGGY,2024-11-22,11:54:00,414.45,414.7,414.4,414.5,2278
SWIGGY,2024-11-22,11:55:00,414.5,414.7,414.4,414.7,3191
SWIGGY,2024-11-22,11:56:00,414.65,414.7,414.4,414.6,2671
SWIGGY,2024-11-22,11:57:00,414.65,414.7,414.4,414.45,5790
SWIGGY,2024-11-22,11:58:00,414.45,414.7,414.4,414.55,2092
SWIGGY,2024-11-22,11:59:00,414.55,414.7,414,414.05,20811
SWIGGY,2024-11-22,12:00:00,414,414.15,413.7,413.7,3824
SWIGGY,2024-11-22,12:01:00,413.75,414.1,413.7,414.05,1951
SWIGGY,2024-11-22,12:02:00,414.05,414.05,413.8,413.85,3974
SWIGGY,2024-11-22,12:03:00,413.7,414.6,413.7,414.5,3274
SWIGGY,2024-11-22,12:04:00,414.5,414.7,414.35,414.5,4457
SWIGGY,2024-11-22,12:05:00,414.5,414.7,414.2,414.55,3329
SWIGGY,2024-11-22,12:06:00,414.55,414.95,414.55,414.85,6371
SWIGGY,2024-11-22,12:07:00,414.85,414.9,414.25,414.75,9219
SWIGGY,2024-11-22,12:08:00,414.75,415,414.5,414.6,5184
SWIGGY,2024-11-22,12:09:00,414.65,414.95,414.55,414.6,2417
SWIGGY,2024-11-22,12:10:00,414.75,415,414.6,414.9,5576
SWIGGY,2024-11-22,12:11:00,414.7,414.9,414.45,414.45,3827
SWIGGY,2024-11-22,12:12:00,414.75,414.9,414.5,414.55,2187
SWIGGY,2024-11-22,12:13:00,414.85,415.6,414.3,415.6,24311
SWIGGY,2024-11-22,12:14:00,415.7,419.75,415.7,419,85274
SWIGGY,2024-11-22,12:15:00,419.05,419.5,418.8,418.8,23410
SWIGGY,2024-11-22,12:16:00,418.8,419.2,416.75,416.95,74291
SWIGGY,2024-11-22,12:17:00,416.95,418.3,416.75,417.35,65000
SWIGGY,2024-11-22,12:18:00,417.35,417.5,416.95,416.95,13732
SWIGGY,2024-11-22,12:19:00,416.95,417.25,416.95,417.2,3691
